Hyb_Signal_GREEN,Assay_Signal_GREEN_maxLigand,Assay_Signal_GREEN_almostMaxLigand,Assay_Signal_RED_maxLigand,Assay_Signal_RED_almostMaxLigand
16616.8563,6777.666667,8071.833333,2404.333333,324.3333333
19830.0406,11963.66667,12584.5,4553.8,566.1666667
16398.76641,7201.166667,9920.333333,2595.166667,300.6
22097.44093,14207.5,15246.83333,1889,288.1666667
27413.86774,18962.33333,21467.66667,1964.666667,284.6666667
28563.98122,21174.5,23309.83333,1953.6,389.6666667
26179.30125,18155,19579,1912.833333,324.1666667
23659.00221,15318.16667,18605.16667,2507.5,375.1666667
22016.68703,12709.33333,15461,2545.833333,364.6666667
21739.16138,11451.83333,14788,2239,272.6666667
25165.10985,15420.66667,18917.66667,2547,345
26015.65049,17533.83333,20312.33333,2377.666667,253.5
25756.67724,18249.5,19531,2699,335.8333333
27498.97668,19808.33333,21247.66667,1985.166667,301.6666667
28720.08606,21421.83333,23372.33333,1963.333333,376.5
24181.23682,15621,18377,2310.833333,365.5
20012.80879,10799,13683.66667,2027.833333,331.3333333
18180.32844,6643,9531,2638.333333,310.6666667
5329.003196,2034.666667,2535.166667,1831.833333,390.6
6848.931897,2788.333333,3212.333333,2398.833333,380.3333333
14789.44397,6340.833333,6777.333333,3458.333333,409.5
9775.268939,3517,4021.666667,3145,345.2
8088.918521,2437.5,3351,2192.666667,397.8333333
7459.840081,2835.833333,3324,2561,352.5
25883.12678,12501.16667,13420,10530,4554.5
25190.07335,12528.16667,14296.83333,3951.5,512.6666667
30315.3692,19741,20821.83333,3250,346.8333333
25550.43789,14527.83333,16078,2611.333333,433.5
25474.53784,16809.16667,19007.5,4808.833333,585
24752.61608,15952.16667,18806.33333,2640.333333,425.8333333
28225.73027,20215.16667,21233.83333,1870.5,363.8
29464.288,21556.83333,24554.16667,2004,347.6
30735.63265,23256.83333,24918.83333,1970.666667,394.8333333
26193.4607,18515.83333,20423.16667,2124,420.8333333
26600.56005,17910.83333,20021.66667,2300,290.3333333
27747.51192,17764,20842.83333,2924,361.1666667
27577.40388,17133.33333,21133.83333,2226.333333,348.8333333
27172.54253,18562.66667,20570.66667,2499.5,284
28904.95683,20777.83333,22871.83333,2649.833333,348.8333333
29508.75087,20870.16667,24064.83333,3133,379.1666667
29178.45376,23139,23324,1939,322.5
30012.99211,22587,25015.5,1909.333333,378.5
23747.09876,15259.33333,17698,1628.166667,319.6666667
27189.68616,17046.66667,19995.83333,2192,430.1666667
18132.21323,6914.666667,9979.666667,2121.166667,344.8333333
13032.57221,5017.5,5692,2364.833333,361
17652.6935,7703.833333,8809.666667,3536.8,431.8333333
18483.14753,8243,9498,3501.833333,528.1666667
16763.92858,7271.333333,7938.5,3357,530.5
11357.4012,4294.666667,5200.5,2624.5,450
32276.98741,19028.83333,21486.33333,8108.5,1243.4
31077.59458,19692.16667,21966,2986.333333,368.6666667
34498.5887,23646.66667,26660,2489.5,348.1666667
30721.15455,20415.16667,21376.66667,2437.8,327.6666667
29102.22585,21302.5,23298.66667,5238.333333,512.1666667
29918.35492,22053.83333,24255.83333,2536.166667,464.8333333
31551.3022,24907.33333,25567.83333,2087.5,283.6666667
31726.34304,25114,25458.5,1889.166667,406
32057.86829,24112.33333,26059.83333,2107.4,371.8333333
29792.55425,21335.33333,22273.83333,2070.5,346.6666667
31607.14631,23013,25407.33333,2087,367.6
32607.94291,22894.33333,25862.83333,3466.666667,379.8333333
30000.38041,19278.16667,23256.16667,2076.5,385
30482.20151,22914.16667,23409,2372,382
31738.70814,23810.83333,25441.5,2862.833333,398.3333333
32348.43154,25977,25541.83333,3689.833333,398.8333333
30724.61482,23670.16667,24078.83333,2010,370.1666667
29408.0421,21512.33333,23436.66667,1844.2,366.6666667
29379.90337,20614.5,22636.83333,2281,447.6666667
26108.01121,16626.83333,19071.83333,1960.166667,360.25
23756.87267,12759.66667,14976.33333,2833.333333,376.6666667
21540.48595,10360.83333,12830.83333,3107.666667,356.1666667
20488.74416,9078,10383.16667,3464.166667,411.1666667
